Hub_Index,Latitude,Longitude,STATION_NAME
1,17.7222014,83.2892612,VISAKHAPATNAM
2,17.3924217,78.4689988,HYDERABAD                                         
3,17.3906471,78.5009093,KACHEGUDA
4,17.433709,78.5016144,SECUNDERABAD JN                                   
5,13.628347,79.4199775,TIRUPATI
6,16.5186249,80.6198977,VIJAYAWADA                                 
7,26.1825487,91.7497434,GUWAHATI
8,26.1547701,85.9072476,DARBHANGA JN.
9,24.8032413,84.9997072,GAYA JN.
10,26.1218988,85.3791128,MUZAFFARPUR JN.
11,25.6033028,85.137137,PATNA JN.
12,25.24003,86.984511,BHAGALPUR 
13,25.7875072,84.7249934,CHHAPRA JN.
14,30.7022191,76.8224701,CHANDIGARH
15,22.0561061,82.1718547,BILASPUR JN
16,21.2513844,81.6296413,RAIPUR
17,28.6489284,77.3151845,ANAND VIHAR TERMINAL
18,28.6609677,77.2276704,DELHI JN.
19,28.5889188,77.2534726,H. NIZAMUDDIN
20,28.6415494,77.2208123,NEW DELHI
21,23.0331815,72.509905,AHMEDABAD
22,22.3117482,70.8027354,RAJKOT
23,18.9525037,72.8403696,SURAT
24,22.3107749,73.18093,VADODARA
25,30.3377219,76.828023,AMBALA CANTT. JN.
26,32.7055231,74.8806613,JAMMU TAWI
27,23.7910294,86.4299391,DHANBAD
28,22.7759082,86.1892688,TATANAGAR
29,12.9781289,77.5695678,BANGALORE CITY
30,13.0237563,77.5507379,YESVANTPUR
31,9.9690556,76.2910113,ERNAKULAM JN                       
32,11.2466631,75.7810735,KOZHIKKODE                         
33,10.5140767,76.2076478,THRISUR                            
34,8.4869572,76.9526774,TIRUVANANTHAPURAM CENTRAL          
35,26.2159557,78.181915,GWALIOR
36,23.2554093,77.4525961,BHOPAL
37,23.1651957,79.950747,JABALPUR
38,18.9398208,72.8354676,CST MUMBAI
39,19.0150316,72.8453596,DADAR
40,19.2354082,73.131024,KALYAN
41,19.069143,72.8922731,LOKMANYA TILAK (T)
42,21.152187,79.0887588,NAGPUR
43,18.5224151,73.8410717,PUNE
44,17.6644233,75.8929702,SOLAPUR
45,19.1860408,72.9758837,THANE
46,19.0625241,72.8413066,BANDRA TERMINUS
47,18.9707714,72.8194532,MUMBAI CENTRAL MAIN
48,20.266601,85.8436154,BHUBANESWAR
49,19.8133822,85.8314655,PURI
50,31.6330859,74.867131,AMRITSAR
51,30.9121269,75.8482248,LUDHIANA
52,26.4570946,74.6371962,AJMER
53,26.919152,75.7888893,JAIPUR
54,26.312797,73.092945,JODHPUR CANTT
55,13.0821888,80.2755083,CHENNAI CENTRAL                    
56,13.0778746,80.2616195,CHENNAI EGMORE                     
57,10.9959149,76.9677409,COIMBATORE JN                      
58,9.9203545,78.1102932,MADURAI JN                         
59,25.2784626,83.1199829,MUGHALSARAI JN.
60,27.1578152,77.9899244,AGRA CANTT
61,25.4456773,81.8302488,ALLAHABAD
62,25.443172,78.5575046,JHANSI
63,26.453855,80.3511946,KANPUR CENTRAL
64,27.4794821,77.673651,MATHURA JN
65,26.7595215,83.3817547,GORAKHPUR JN.
66,26.8316998,80.9191505,LUCKNOW JN.
67,28.3371343,79.4108244,BAREILLY
68,26.8466937,80.946166,LUCKNOW
69,25.32742,82.9860535,VARANASI
70,30.3134362,78.0335611,DEHRADUN
71,29.9482998,78.1555524,HARIDWAR
72,22.5834126,88.3429024,HOWRAH 
73,22.5673321,88.3708625,SEALDAH  
74,26.6842567,88.4428015,NEW JALPAIGURI
75,22.3149274,87.3105311,KHARAGPUR
